Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2003","2003","tonnes","14638800","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2004","2004","tonnes","10841300","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2005","2005","tonnes","10509200","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2006","2006","tonnes","10346900","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2007","2007","tonnes","12673000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2008","2008","tonnes","11371800","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2009","2009","tonnes","8776800","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2010","2010","tonnes","13293000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2011","2011","tonnes","12660000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2012","2012","tonnes","10750000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2013","2013","tonnes","10910000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2014","2014","tonnes","11420000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2015","2015","tonnes","11630000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2016","2016","tonnes","10280000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2017","2017","tonnes","11556890","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2018","2018","tonnes","11633080","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2019","2019","tonnes","10235830","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2020","2020","tonnes","12488470","A","Official figure"
